,Class i,Class j,Statistic,P-value(rounded),P-value(exp)
28,0.0,29.0,-42.100982473276815,0.0,5.396198010012231e-244
29,0.0,30.0,-46.68284777259793,0.0,3.6810913977816503e-284
30,0.0,31.0,-51.03142619052687,0.0,7.427667354854646e-267
31,0.0,32.0,-36.534602422092945,0.0,4.960641066662757e-199
32,0.0,33.0,-38.853913300921725,0.0,1.2043360104213332e-192
33,0.0,34.0,-39.622519329819355,0.0,1.2016122519580144e-217
34,0.0,35.0,-37.153844063650716,0.0,4.40097097142131e-206
35,0.0,36.0,-43.72604492613513,0.0,1.3825506443414391e-247
36,0.0,37.0,-38.73674629642844,0.0,1.378319870388878e-217
37,0.0,38.0,-38.81927928734062,0.0,4.509974441884268e-217
38,0.0,39.0,-40.91202038055937,0.0,1.166786493480362e-257
39,0.0,40.0,-37.58938136096027,0.0,1.3305512723489561e-205
40,0.0,41.0,-35.83540041330085,0.0,4.732261245451689e-199
41,0.0,42.0,-39.476272850201894,0.0,6.573487973148034e-240
42,0.0,43.0,-44.737228691371165,0.0,2.8103791036403437e-290
43,0.0,44.0,-38.41152901408128,0.0,4.4585787925876084e-216
44,0.0,45.0,-55.210575486843936,0.0,2.963153269099243e-283
45,0.0,46.0,-41.917358843320926,0.0,4.207053627051103e-264
46,0.0,47.0,-43.14076570982797,0.0,1.0200420580334845e-267
47,0.0,48.0,-44.56107590121613,0.0,2.9996954770843514e-268
48,0.0,49.0,-22.091406508388335,0.0,5.463310363171827e-89
49,0.0,50.0,-41.75712034706962,0.0,2.2921756794109394e-241
50,0.0,51.0,-43.042522238616485,0.0,2.856711019750546e-261
51,0.0,52.0,-51.91895971260967,0.0,4e-323
52,0.0,53.0,-41.0464649132982,0.0,2.7883011681261356e-250
